company_id,company_name,domain,country,region,industry,revenue_usd,revenue_band,revenue_is_estimated,latest_revenue_usd,latest_revenue_estimated,latest_revenue_year,employee_size_band,linkedin_employees_count,ownership_type,website,locality,description,keywords,current_owners,investors,founded_year,year_total_visits,source_file,source_region
27098007,Blue Cross and Blue Shield of Alabama,bcbsal.org,US,Alabama,Insurance,297311920.77,$250M-$300M,TRUE,297311920.77,TRUE,,1001-5000,2753,non_profit,bcbsal.org,Hoover,"Blue Cross and Blue Shield of Alabama is a not-for-profit health insurance provider that offers a range of health plans, including individual, family, and employer coverage. The organization serves over 2.8 million members, providing essential healthcare services and wellness programs to support their health needs. With a focus on accessibility and affordability, it plays a crucial role in the healthcare landscape of Alabama.",,,,1936,,companies_US_Alabama.json,US
298191,Tastefully Simple,tastefullysimple.com,US,Alabama,Food & Beverages,256728339.83,$250M-$300M,TRUE,256728339.83,TRUE,,51-200,2524,private_unknown,tastefullysimple.com,Alexandria,"Tastefully Simple is a food product retailer specializing in convenient meal solutions and kitchenware. The company offers a wide range of products including meal prep kits, seasonings, and baking mixes, catering primarily to consumers seeking easy-to-prepare food options. Their business model focuses on direct sales through their online store.",,,,1995,,companies_US_Alabama.json,US
3591274,Adtran,adtran.com,US,Alabama,Telecommunications,294267162.81,$250M-$300M,TRUE,294267162.81,TRUE,,1001-5000,2414,public,adtran.com,Huntsville,"Adtran is a telecommunications company specializing in network solutions and fiber broadband technologies. They provide a comprehensive range of products and services, including optical networking equipment, cloud software, and support services, primarily targeting telecommunications service providers and municipalities. Their innovative solutions help customers enhance network performance and meet the growing demand for high-speed connectivity.",,Adtran; adtran-networks.com,bombardier.com; Adtran; adtran-networks.com,1985,1852585,companies_US_Alabama.json,US
7937650,Aviagen,aviagen.com,US,Alabama,Food and Beverage Manufacturing,288068711.90,$250M-$300M,TRUE,288068711.90,TRUE,,1001-5000,2332,corporate,aviagen.com,Huntsville,"Aviagen is a poultry breeding company specializing in the genetics and breeding of broiler stock. They provide high-quality breeding stock and support services to poultry producers globally, focusing on health, welfare, and sustainability. Their customers include poultry farmers and producers who rely on Aviagen for expertise and quality breeding solutions.",,Aviagen,The BIO; Aviagen; BC Partners; The Royal Bank of Scotland (RBS); Advent; europe direct lyon Rhône-Alpes; EW Group GmbH,,,companies_US_Alabama.json,US
3591134,Samford University,samford.edu,US,Alabama,Higher Education,270699349.02,$250M-$300M,TRUE,270699349.02,TRUE,,1001-5000,2328,non_profit,samford.edu,Birmingham,"Samford University is a public entity offering a wide range of undergraduate and graduate academic programs. It serves students seeking higher education and personal development, focusing on character development and career preparation. The university is committed to fostering a vibrant student life and community engagement.",,,"Lilly Endowment; Health Resources and Services Administration (HRSAgov), HHS; Community Foundation of Greater Birmingham; alabamacp.org",1841,3412349,companies_US_Alabama.json,US
3591317,DCH Health System,dchsystem.com,US,Alabama,Hospitals and Health Care,250844669.26,$250M-$300M,TRUE,250844669.26,TRUE,,1001-5000,2246,public_entity,dchsystem.com,Tuscaloosa,"DCH Health System is a not-for-profit healthcare provider offering a comprehensive range of medical services, including emergency care, specialized treatments, and rehabilitation. The organization serves patients in need of healthcare solutions, focusing on community health and well-being. DCH Health System operates multiple facilities to ensure accessible and quality care for its patients.",,,,1923,558160,companies_US_Alabama.json,US
691876,TruBridge,trubridge.com,US,Alabama,Hospitals and Health Care,292564772.61,$250M-$300M,TRUE,292564772.61,TRUE,,1001-5000,2124,public,trubridge.com,Mobile,"TruBridge is a healthcare solutions provider specializing in revenue cycle management and related services. The company offers a range of products including medical coding, electronic health records, and patient access solutions, primarily serving hospitals and healthcare providers. Their business model focuses on improving financial health and operational efficiency for clients through tailored, technology-enabled solutions.",,IKS Health; iksny.com,l6holdings.com; regions.com; Pinetree Capital Ltd.; iksny.com; IKS Health,1979,456581,companies_US_Alabama.json,US
309592,"Carr, Riggs & Ingram",criadv.com,US,Alabama,Business Consulting and Services,258971184.80,$250M-$300M,TRUE,258971184.80,TRUE,,1001-5000,2115,private_equity,criadv.com,Enterprise,"Carr, Riggs & Ingram is an accounting and advisory firm that provides a range of services including audit, tax, and business consulting. The firm serves various industries such as agribusiness and healthcare, helping clients navigate financial regulations and improve their operational efficiency. With a focus on client relationships, CRI aims to deliver tailored solutions that drive growth and compliance.",,"Centerbridge Partners, L.P.; Bessemer Venture Partners","Carr, Riggs & Ingram; Centerbridge Partners, L.P.; Bessemer Venture Partners",1997,408197,companies_US_Alabama.json,US
3591367,Jacksonville State University,jsu.edu,US,Alabama,Higher Education,292431443.03,$250M-$300M,TRUE,292431443.03,TRUE,,1001-5000,2036,public_entity,jsu.edu,Jacksonville,"Jacksonville State University is a public entity that offers a wide range of educational programs and services to students. It provides undergraduate and graduate degrees across various disciplines, along with support services such as financial aid and campus resources. The university serves a diverse student population, focusing on academic excellence and community engagement.",,,"Health Resources and Services Administration (HRSAgov), HHS; Alabama Department of Human Resources; Alabama Office of Information Technology; National Science Foundation (NSF); U.S. Department of Justice",1883,3214669,companies_US_Alabama.json,US
140563,Tuskegee University,tuskegee.edu,US,Alabama,Higher Education,180322436.27,$100M-$200M,TRUE,180322436.27,TRUE,,501-1000,1960,non_profit,tuskegee.edu,Tuskegee,"Tuskegee University is a public entity that provides higher education through a variety of undergraduate and graduate programs. It serves students seeking academic qualifications and professional development, offering resources such as online learning and research opportunities. The university is committed to fostering student success and community engagement.",,,Uncf; National Telecommunications and Information Administration (NTIA); The National Institutes of Health; National Science Foundation (NSF); American Humane Society; investor.zoetis.com,1881,1434608,companies_US_Alabama.json,US
317734,Hargrove Engineers & Constructors,hargrove-epc.com,US,Alabama,Industrial Machinery Manufacturing,265928100.25,$250M-$300M,TRUE,265928100.25,TRUE,,1001-5000,1933,private_unknown,hargrove-epc.com,Mobile,"Hargrove Engineers & Constructors is a company specializing in engineering and construction services. They provide comprehensive solutions across various sectors, including chemicals and power generation, focusing on project execution, procurement, and technical services. Their clients are primarily businesses seeking to optimize operations and ensure compliance with industry standards.",,,,,117429,companies_US_Alabama.json,US
326780,"NaphCare, Inc.",naphcare.com,US,Alabama,Hospitals and Health Care,257441827.02,$250M-$300M,TRUE,257441827.02,TRUE,,1001-5000,1820,venture_capital,naphcare.com,Birmingham,"NaphCare is a healthcare provider specializing in correctional healthcare services. They offer a range of services including medical and mental health care, pharmacy services, and technology solutions tailored for correctional facilities. Their customers include government agencies that operate jails and prisons, and they focus on improving health outcomes for incarcerated individuals through innovative healthcare solutions.",,,U.S. Small Business Administration,1989,270377,companies_US_Alabama.json,US
3593000,Express Oil Change & Tire Engineers,expressoil.com,US,Alabama,Vehicle Repair and Maintenance,257985119.36,$250M-$300M,TRUE,257985119.36,TRUE,,1001-5000,1812,private_equity,expressoil.com,Hoover,"Express Oil Change & Tire Engineers is an automotive service company that specializes in quick oil changes and tire services. They cater to vehicle owners seeking efficient maintenance solutions to keep their cars in optimal condition. The company operates numerous locations across various states, providing essential services to ensure vehicle safety and performance.",,Golden Gate Capital,"Sanders Capital Partners, LLC; Golden Gate Capital; Carousel Capital",1979,2923704,companies_US_Alabama.json,US
11999729,East Alabama Health,eastalabamahealth.org,US,Alabama,Hospitals and Health Care,241396978.34,$200M-$250M,TRUE,241396978.34,TRUE,,1001-5000,1760,non_profit,eastalabamahealth.org,Opelika,"East Alabama Health is a not-for-profit healthcare provider dedicated to delivering high-quality medical services to the community. It offers a wide range of services including cardiovascular care, orthopaedics, and cancer treatment. The organization serves individuals and families in need of healthcare, ensuring access to compassionate and comprehensive medical care across various specialties.",,VieMed Healthcare,Fema,1952,,companies_US_Alabama.json,US
428650,Mazda Toyota Manufacturing,mazdatoyota.com,US,Alabama,Motor Vehicle Manufacturing,259443036.43,$250M-$300M,TRUE,259443036.43,TRUE,,1001-5000,1720,corporate,mazdatoyota.com,Madison,Mazda Toyota Manufacturing is an automotive manufacturer specializing in the assembly of vehicles such as the Mazda CX-50 and Toyota Corolla Cross. The company focuses on providing high-quality vehicles and offers various job opportunities in production and maintenance. It operates in North Alabama and emphasizes a culture of innovation and collaboration among its employees.,,Toyota Motor Corporation,,2018,97882,companies_US_Alabama.json,US
20709226,MySelf Art,kaygarriottart.company.site,US,Alabama,Artists and Writers,187480712.30,$100M-$200M,TRUE,187480712.30,TRUE,,1-10,1718,private_unknown,kaygarriottart.company.site,Huntsville,"Kay Garriott Art is an art gallery and online store specializing in original artwork. The company offers a variety of paintings created by the artist Kay Garriott, who intuitively crafts each piece. Customers are primarily individual consumers seeking unique art for personal spaces. The business model focuses on direct sales through an online platform, providing free shipping within the USA.",,,,2020,,companies_US_Alabama.json,US
1201174,Encore Rehabilitation Services,encorerehabilitation.com,US,Alabama,Hospital & Health Care,265213704.02,$250M-$300M,TRUE,265213704.02,TRUE,,1001-5000,1673,private_unknown,encorerehabilitation.com,Decatur,,,Revelstoke Capital Partners,Revelstoke Capital Partners,2007,4156,companies_US_Alabama.json,US
316767,City of Birmingham,birminghamal.gov,US,Alabama,Government Administration,253440408.48,$250M-$300M,TRUE,253440408.48,TRUE,,1001-5000,1646,public_entity,birminghamal.gov,Birmingham,"The City of Birmingham, Alabama is a public entity that provides a range of services to its residents, including public safety, community engagement, and administrative support. The city operates various departments to facilitate permitting, inspections, and local events, ensuring that both residents and businesses have access to essential services.",,,nps.gov; City of Birmingham; Mellon Foundation,1871,752237,companies_US_Alabama.json,US
197781,Universal Plant Services,universalplant.com,US,Alabama,Oil and Gas,155672884.83,$100M-$200M,TRUE,155672884.83,TRUE,,501-1000,1642,private_equity,universalplant.com,Deer Park,"Universal Plant Services is a company specializing in industrial and energy services, focusing on the maintenance, repair, and fabrication of rotating and reciprocating equipment. Their customers include industrial plants and refineries that require reliable services to minimize downtime and optimize operational efficiency. The company operates across various sectors, providing tailored solutions to meet the needs of critical industries.",,"Oaktree Capital Management, L.P.; New State Capital Partners; APEX Capital Partners","Jones Industrial Holdings, Inc.; Apex Capital Partners // Multi-Family Office; MML Capital Partners; New State Capital Partners; Oaktree Capital Management, L.P.",1986,146843,companies_US_Alabama.json,US
1280146,Alabama State University,alasu.edu,US,Alabama,Higher Education,177771659.87,$100M-$200M,TRUE,177771659.87,TRUE,,1-10,1634,public_entity,alasu.edu,Montgomery,"Alabama State University is a public educational institution offering a range of undergraduate and graduate programs. It serves students by providing academic support, financial aid, and various student services to enhance their educational experience. The university operates primarily in the education sector, focusing on student success and community engagement.",,,NASA - National Aeronautics and Space Administration; U.S. Department of Energy (DOE); National Telecommunications and Information Administration (NTIA); powerofgood.com; U.S. Department of Education; truistfoundation.org; Department of Defense Office of Small Business Programs; Institute of Museum and Library Services; Imls - Federal'nyy Servis Po Nedvizhimosti,,1185463,companies_US_Alabama.json,US
4302,University of North Alabama,una.edu,US,Alabama,Higher Education,151019525.05,$100M-$200M,TRUE,151019525.05,TRUE,,501-1000,1587,public_entity,una.edu,Florence,"The University of North Alabama is a public entity that offers a range of higher education programs, including undergraduate and graduate degrees, as well as online learning options. It serves students from various backgrounds, providing academic resources, career services, and opportunities for personal growth. The university is committed to accessibility and quality education, fostering a supportive environment for its students.",,,U.S. Department of Education; britt.senate.gov; United States Federal Government; ServeAlabama administers,1830,1988939,companies_US_Alabama.json,US
327683,DSI Security Services,dsisecurity.com,US,Alabama,Security and Investigations,243160853.45,$200M-$250M,TRUE,243160853.45,TRUE,,1001-5000,1585,family_owned,dsisecurity.com,Dothan,"DSI Security Services is a security services company that specializes in providing uniformed security, technology solutions, and consulting services. They cater to businesses and organizations across various industries, offering tailored security assessments and programs to mitigate risks. The company prides itself on its commitment to quality and reliability, ensuring the safety of clients' assets and personnel.",,,ServisFirst Bank,1969,97660,companies_US_Alabama.json,US
3591872,Alabama Department of Public Health,alabamapublichealth.gov,US,Alabama,Government Administration,261496748.08,$250M-$300M,TRUE,261496748.08,TRUE,,1001-5000,1580,public_entity,alabamapublichealth.gov,Montgomery,"The Alabama Department of Public Health is a public entity focused on promoting and protecting the health of Alabama residents. It offers a range of services including vital records, health insurance programs for children, and nutritional assistance for women and children. The department addresses public health challenges through various initiatives and community outreach efforts.",,,,1875,,companies_US_Alabama.json,US
53543,USA Health,usahealthsystem.com,US,Alabama,Hospitals and Health Care,264546538.26,$250M-$300M,TRUE,264546538.26,TRUE,,1001-5000,1557,non_profit,usahealthsystem.com,Mobile,"USA Health is a not-for-profit academic medical center that provides a comprehensive range of healthcare services, including specialized medical care, emergency services, and educational programs. It serves patients and families in the Gulf Coast region, focusing on community health needs and advancing medical research and education.",,University of South Alabama,State of Alabama; Breast Cancer Research Foundation of Alabama; The National Institutes of Health; Norma Livingston Ovarian Cancer Foundation; ised-isde.canada.ca; Hyundai Canada Hope on Wheels; toysfoundation.org,,,companies_US_Alabama.json,US
3233458,BenchMark Physical Therapy,benchmarkpt.com,US,Alabama,Hospitals and Health Care,148917879.62,$100M-$200M,TRUE,148917879.62,TRUE,,501-1000,1549,private_equity,benchmarkpt.com,Birmingham,"BenchMark Physical Therapy is a healthcare service provider specializing in outpatient physical therapy and rehabilitation. They offer a wide range of services including physical, occupational, and specialized therapies to help patients recover from injuries and manage chronic conditions. Their clientele includes individuals of all ages seeking personalized care to improve their physical health and well-being. The company operates multiple clinics across the United States.",,Upstream Rehabilitation,,,,companies_US_Alabama.json,US
